"estado","total_matriculas","total_desistencias","taxa_evasao_percentual"
TO,4585225,2307321,50.32
AM,62926,21862,34.74
SC,223839,56589,25.28
AC,14641,3621,24.73
SP,2045014,503096,24.60
MS,54252,12665,23.34
DF,57070,13243,23.20
MG,473539,107416,22.68
GO,176488,40022,22.68
SE,63196,14106,22.32
PR,254360,55182,21.69
AL,73188,15654,21.39
ES,78284,16501,21.08
RS,229701,47967,20.88
RO,50083,10088,20.14
MA,129869,26066,20.07
BA,240518,46765,19.44
RJ,379209,71589,18.88
CE,204568,38298,18.72
MT,105954,19389,18.30
PB,102268,17930,17.53
PA,144425,24916,17.25
AP,25831,4394,17.01
RN,90693,15000,16.54
PE,225881,36245,16.05
RR,30812,4438,14.40
PI,105432,14461,13.72
